exp_id,input_size,batch_size,lr,loss_name,lovasz_weight,channel_mask,is_finished
0,372,4,3e-05,LovaszSoftmaxLoss,,100000,True
1,372,4,3e-05,LovaszSoftmaxLoss,,111000,True
2,372,4,3e-05,LovaszSoftmaxLoss,,111111,True
3,372,4,3e-05,LovaszSoftmaxLoss,,000111,True
4,372,4,3e-05,FocalLoss,,100000,True
5,372,4,3e-05,FocalLoss,,111000,True
6,372,4,3e-05,FocalLoss,,111111,True
7,372,4,3e-05,FocalLoss,,000111,True
8,372,4,3e-05,CombinedLoss_0.25,0.25,100000,True
9,372,4,3e-05,CombinedLoss_0.25,0.25,111000,True
10,372,4,3e-05,CombinedLoss_0.25,0.25,111111,True
11,372,4,3e-05,CombinedLoss_0.25,0.25,000111,True
12,372,4,3e-05,CombinedLoss_0.75,0.75,100000,True
13,372,4,3e-05,CombinedLoss_0.75,0.75,111000,True
14,372,4,3e-05,CombinedLoss_0.75,0.75,111111,True
15,372,4,3e-05,CombinedLoss_0.75,0.75,000111,True
16,372,4,0.0003,LovaszSoftmaxLoss,,100000,True
17,372,4,0.0003,LovaszSoftmaxLoss,,111000,True
18,372,4,0.0003,LovaszSoftmaxLoss,,111111,True
19,372,4,0.0003,LovaszSoftmaxLoss,,000111,True
20,372,4,0.0003,FocalLoss,,100000,True
21,372,4,0.0003,FocalLoss,,111000,True
22,372,4,0.0003,FocalLoss,,111111,True
23,372,4,0.0003,FocalLoss,,000111,True
24,372,4,0.0003,CombinedLoss_0.25,0.25,100000,True
25,372,4,0.0003,CombinedLoss_0.25,0.25,111000,True
26,372,4,0.0003,CombinedLoss_0.25,0.25,111111,True
27,372,4,0.0003,CombinedLoss_0.25,0.25,000111,True
28,372,4,0.0003,CombinedLoss_0.75,0.75,100000,True
29,372,4,0.0003,CombinedLoss_0.75,0.75,111000,True
30,372,4,0.0003,CombinedLoss_0.75,0.75,111111,True
31,372,4,0.0003,CombinedLoss_0.75,0.75,000111,True
32,1024,4,3e-05,LovaszSoftmaxLoss,,100000,True
33,1024,4,3e-05,LovaszSoftmaxLoss,,111000,True
34,1024,4,3e-05,LovaszSoftmaxLoss,,111111,True
35,1024,4,3e-05,LovaszSoftmaxLoss,,000111,True
36,1024,4,3e-05,FocalLoss,,100000,True
37,1024,4,3e-05,FocalLoss,,111000,True
38,1024,4,3e-05,FocalLoss,,111111,True
39,1024,4,3e-05,FocalLoss,,000111,True
40,1024,4,3e-05,CombinedLoss_0.25,0.25,100000,True
41,1024,4,3e-05,CombinedLoss_0.25,0.25,111000,True
42,1024,4,3e-05,CombinedLoss_0.25,0.25,111111,True
43,1024,4,3e-05,CombinedLoss_0.25,0.25,000111,True
44,1024,4,3e-05,CombinedLoss_0.75,0.75,100000,True
45,1024,4,3e-05,CombinedLoss_0.75,0.75,111000,True
46,1024,4,3e-05,CombinedLoss_0.75,0.75,111111,True
47,1024,4,3e-05,CombinedLoss_0.75,0.75,000111,True
48,1024,4,0.0003,LovaszSoftmaxLoss,,100000,True
49,1024,4,0.0003,LovaszSoftmaxLoss,,111000,True
50,1024,4,0.0003,LovaszSoftmaxLoss,,111111,True
51,1024,4,0.0003,LovaszSoftmaxLoss,,000111,True
52,1024,4,0.0003,FocalLoss,,100000,True
53,1024,4,0.0003,FocalLoss,,111000,True
54,1024,4,0.0003,FocalLoss,,111111,True
55,1024,4,0.0003,FocalLoss,,000111,True
56,1024,4,0.0003,CombinedLoss_0.25,0.25,100000,True
57,1024,4,0.0003,CombinedLoss_0.25,0.25,111000,True
58,1024,4,0.0003,CombinedLoss_0.25,0.25,111111,True
59,1024,4,0.0003,CombinedLoss_0.25,0.25,000111,True
60,1024,4,0.0003,CombinedLoss_0.75,0.75,100000,True
61,1024,4,0.0003,CombinedLoss_0.75,0.75,111000,True
62,1024,4,0.0003,CombinedLoss_0.75,0.75,111111,True
63,1024,4,0.0003,CombinedLoss_0.75,0.75,000111,True
64,372,8,3e-05,LovaszSoftmaxLoss,,100000,True
65,372,8,3e-05,LovaszSoftmaxLoss,,111000,True
66,372,8,3e-05,LovaszSoftmaxLoss,,111111,True
67,372,8,3e-05,LovaszSoftmaxLoss,,000111,True
68,372,8,3e-05,FocalLoss,,100000,True
69,372,8,3e-05,FocalLoss,,111000,True
70,372,8,3e-05,FocalLoss,,111111,True
71,372,8,3e-05,FocalLoss,,000111,True
72,372,8,3e-05,CombinedLoss_0.25,0.25,100000,True
73,372,8,3e-05,CombinedLoss_0.25,0.25,111000,True
74,372,8,3e-05,CombinedLoss_0.25,0.25,111111,True
75,372,8,3e-05,CombinedLoss_0.25,0.25,000111,True
76,372,8,3e-05,CombinedLoss_0.75,0.75,100000,True
77,372,8,3e-05,CombinedLoss_0.75,0.75,111000,True
78,372,8,3e-05,CombinedLoss_0.75,0.75,111111,True
79,372,8,3e-05,CombinedLoss_0.75,0.75,000111,True
80,372,8,0.0003,LovaszSoftmaxLoss,,100000,True
81,372,8,0.0003,LovaszSoftmaxLoss,,111000,True
82,372,8,0.0003,LovaszSoftmaxLoss,,111111,True
83,372,8,0.0003,LovaszSoftmaxLoss,,000111,True
84,372,8,0.0003,FocalLoss,,100000,True
85,372,8,0.0003,FocalLoss,,111000,True
86,372,8,0.0003,FocalLoss,,111111,True
87,372,8,0.0003,FocalLoss,,000111,True
88,372,8,0.0003,CombinedLoss_0.25,0.25,100000,True
89,372,8,0.0003,CombinedLoss_0.25,0.25,111000,True
90,372,8,0.0003,CombinedLoss_0.25,0.25,111111,True
91,372,8,0.0003,CombinedLoss_0.25,0.25,000111,True
92,372,8,0.0003,CombinedLoss_0.75,0.75,100000,True
93,372,8,0.0003,CombinedLoss_0.75,0.75,111000,True
94,372,8,0.0003,CombinedLoss_0.75,0.75,111111,True
95,372,8,0.0003,CombinedLoss_0.75,0.75,000111,True
96,1024,8,3e-05,LovaszSoftmaxLoss,,100000,False
97,1024,8,3e-05,LovaszSoftmaxLoss,,111000,False
98,1024,8,3e-05,LovaszSoftmaxLoss,,111111,False
99,1024,8,3e-05,LovaszSoftmaxLoss,,000111,False
100,1024,8,3e-05,FocalLoss,,100000,False
101,1024,8,3e-05,FocalLoss,,111000,False
102,1024,8,3e-05,FocalLoss,,111111,False
103,1024,8,3e-05,FocalLoss,,000111,False
104,1024,8,3e-05,CombinedLoss_0.25,0.25,100000,False
105,1024,8,3e-05,CombinedLoss_0.25,0.25,111000,False
106,1024,8,3e-05,CombinedLoss_0.25,0.25,111111,False
107,1024,8,3e-05,CombinedLoss_0.25,0.25,000111,False
108,1024,8,3e-05,CombinedLoss_0.75,0.75,100000,False
109,1024,8,3e-05,CombinedLoss_0.75,0.75,111000,False
110,1024,8,3e-05,CombinedLoss_0.75,0.75,111111,False
111,1024,8,3e-05,CombinedLoss_0.75,0.75,000111,False
